UniqueID,timestamp,Total Rides,t1,t2,hum,wind_speed,weather_code,is_holiday,is_weekend,season
ID1,04/01/2015 00:00,182,3,2,93,6,Broken Clouds,Non Holiday,Weekend,Winter
ID2,04/01/2015 01:00,138,3,2.5,93,5,Clear,Non Holiday,Weekend,Winter
ID3,04/01/2015 02:00,134,2.5,2.5,96.5,0,Clear,Non Holiday,Weekend,Winter
ID4,04/01/2015 03:00,72,2,2,100,0,Clear,Non Holiday,Weekend,Winter
ID5,04/01/2015 04:00,47,2,0,93,6.5,Clear,Non Holiday,Weekend,Winter
ID6,04/01/2015 05:00,46,2,2,93,4,Clear,Non Holiday,Weekend,Winter
ID7,04/01/2015 06:00,51,1,-1,100,7,Cloudy,Non Holiday,Weekend,Winter
ID8,04/01/2015 07:00,75,1,-1,100,7,Cloudy,Non Holiday,Weekend,Winter
ID9,04/01/2015 08:00,131,1.5,-1,96.5,8,Cloudy,Non Holiday,Weekend,Winter
ID10,04/01/2015 09:00,301,2,-0.5,100,9,Broken Clouds,Non Holiday,Weekend,Winter
ID11,04/01/2015 10:00,528,3,-0.5,93,12,Broken Clouds,Non Holiday,Weekend,Winter
ID12,04/01/2015 11:00,727,2,-1.5,100,12,Broken Clouds,Non Holiday,Weekend,Winter
ID13,04/01/2015 12:00,862,2,-1.5,96.5,13,Cloudy,Non Holiday,Weekend,Winter
ID14,04/01/2015 13:00,916,3,-0.5,87,15,Broken Clouds,Non Holiday,Weekend,Winter
ID15,04/01/2015 14:00,1039,2.5,0,90,8,Broken Clouds,Non Holiday,Weekend,Winter
ID16,04/01/2015 15:00,869,2,-1.5,93,11,Broken Clouds,Non Holiday,Weekend,Winter
ID17,04/01/2015 16:00,737,3,0,93,12,Broken Clouds,Non Holiday,Weekend,Winter
ID18,04/01/2015 17:00,594,3,0,93,11,Broken Clouds,Non Holiday,Weekend,Winter
ID19,04/01/2015 18:00,522,3,1.5,93,6.5,Broken Clouds,Non Holiday,Weekend,Winter
ID20,04/01/2015 19:00,379,3,1,93,7,Broken Clouds,Non Holiday,Weekend,Winter
ID21,04/01/2015 20:00,328,3,3,93,4,Broken Clouds,Non Holiday,Weekend,Winter
ID22,04/01/2015 21:00,221,3,2.5,93,5,Cloudy,Non Holiday,Weekend,Winter
ID23,04/01/2015 22:00,178,3,2,93,6,Cloudy,Non Holiday,Weekend,Winter
ID24,04/01/2015 23:00,157,4,3.5,87,5,Cloudy,Non Holiday,Weekend,Winter
ID25,05/01/2015 00:00,83,4,3,93,6,Cloudy,Non Holiday,Weekday,Winter
