UniqueID,timestamp_date,timestamp_time,cnt,t1,t2,hum,wind_speed,weather_code,is_holiday,is_weekend,season
ID1,04/01/2015,00:00:00,182,3,2,93,6,3,0,1,3
ID2,04/01/2015,01:00:00,138,3,2.5,93,5,1,0,1,3
ID3,04/01/2015,02:00:00,134,2.5,2.5,96.5,0,1,0,1,3
ID4,04/01/2015,03:00:00,72,2,2,100,0,1,0,1,3
ID5,04/01/2015,04:00:00,47,2,0,93,6.5,1,0,1,3
ID6,04/01/2015,05:00:00,46,2,2,93,4,1,0,1,3
ID7,04/01/2015,06:00:00,51,1,-1,100,7,4,0,1,3
ID8,04/01/2015,07:00:00,75,1,-1,100,7,4,0,1,3
ID9,04/01/2015,08:00:00,131,1.5,-1,96.5,8,4,0,1,3
ID10,04/01/2015,09:00:00,301,2,-0.5,100,9,3,0,1,3
ID11,04/01/2015,10:00:00,528,3,-0.5,93,12,3,0,1,3
ID12,04/01/2015,11:00:00,727,2,-1.5,100,12,3,0,1,3
ID13,04/01/2015,12:00:00,862,2,-1.5,96.5,13,4,0,1,3
ID14,04/01/2015,13:00:00,916,3,-0.5,87,15,3,0,1,3
ID15,04/01/2015,14:00:00,1039,2.5,0,90,8,3,0,1,3
ID16,04/01/2015,15:00:00,869,2,-1.5,93,11,3,0,1,3
ID17,04/01/2015,16:00:00,737,3,0,93,12,3,0,1,3
ID18,04/01/2015,17:00:00,594,3,0,93,11,3,0,1,3
ID19,04/01/2015,18:00:00,522,3,1.5,93,6.5,3,0,1,3
ID20,04/01/2015,19:00:00,379,3,1,93,7,3,0,1,3
ID21,04/01/2015,20:00:00,328,3,3,93,4,3,0,1,3
ID22,04/01/2015,21:00:00,221,3,2.5,93,5,4,0,1,3
ID23,04/01/2015,22:00:00,178,3,2,93,6,4,0,1,3
ID24,04/01/2015,23:00:00,157,4,3.5,87,5,4,0,1,3
ID25,05/01/2015,00:00:00,83,4,3,93,6,4,0,0,3
ID26,05/01/2015,01:00:00,67,4,3.5,93,5,4,0,0,3
ID27,05/01/2015,02:00:00,32,5,4,87,6,4,0,0,3
ID28,05/01/2015,03:00:00,22,6,4.5,84,7.5,4,0,0,3
ID29,05/01/2015,04:00:00,38,6.5,5,84,8,4,0,0,3
ID30,05/01/2015,05:00:00,81,6,5.5,87,5,4,0,0,3
ID31,05/01/2015,06:00:00,444,7,6.5,81,5,3,0,0,3
ID32,05/01/2015,07:00:00,1597,7,6,81,6.5,3,0,0,3
ID33,05/01/2015,08:00:00,3161,8,7.5,79,5,3,0,0,3
ID34,05/01/2015,09:00:00,1342,8,7,82,6,3,0,0,3
ID35,05/01/2015,10:00:00,568,9,8,84.5,6.5,3,0,0,3
ID36,05/01/2015,11:00:00,584,9,7.5,90.5,10,3,0,0,3
ID37,05/01/2015,12:00:00,762,10,8,85,11,3,0,0,3
ID38,05/01/2015,13:00:00,873,10,8.5,82,10,3,0,0,3
ID39,05/01/2015,14:00:00,672,10,9,82,9,3,0,0,3
ID40,05/01/2015,15:00:00,807,10,8.5,79,10,3,0,0,3
ID41,05/01/2015,16:00:00,1192,10,8.5,73.5,13,3,0,0,3
ID42,05/01/2015,17:00:00,2761,9.5,7.5,73.5,12,3,0,0,3
ID43,05/01/2015,18:00:00,2389,9.5,7.5,69,14,3,0,0,3
