timestamp_date,total_rides
04/01/2015,9234
05/01/2015,20372
06/01/2015,20613
07/01/2015,21064
08/01/2015,15601
09/01/2015,22104
10/01/2015,14709
11/01/2015,14575
12/01/2015,17199
13/01/2015,24697
14/01/2015,23565
15/01/2015,22968
16/01/2015,22663
17/01/2015,15268
18/01/2015,13199
19/01/2015,23034
20/01/2015,23247
21/01/2015,22782
22/01/2015,23278
23/01/2015,21892
24/01/2015,17539
25/01/2015,15094
26/01/2015,22710
27/01/2015,25000
28/01/2015,21536
29/01/2015,21275
30/01/2015,21171
31/01/2015,10250
01/02/2015,11305
02/02/2015,21640
03/02/2015,19869
04/02/2015,21850
05/02/2015,21200
06/02/2015,20955
07/02/2015,13149
08/02/2015,15778
09/02/2015,23858
10/02/2015,23559
11/02/2015,23680
12/02/2015,23227
13/02/2015,17699
14/02/2015,14423
15/02/2015,16952
16/02/2015,16381
17/02/2015,25064
18/02/2015,25132
19/02/2015,16898
20/02/2015,20715
21/02/2015,16198
22/02/2015,9086
23/02/2015,21764
24/02/2015,23688
25/02/2015,21592
26/02/2015,20036
27/02/2015,24367
28/02/2015,13529
01/03/2015,15641
02/03/2015,22258
03/03/2015,23845
04/03/2015,24485
05/03/2015,24896
06/03/2015,25337
07/03/2015,27365
08/03/2015,20017
09/03/2015,24037
10/03/2015,27674
11/03/2015,27419
12/03/2015,28131
13/03/2015,25700
14/03/2015,18101
15/03/2015,10662
16/03/2015,19824
17/03/2015,25780
18/03/2015,26439
19/03/2015,24077
20/03/2015,25226
21/03/2015,16116
22/03/2015,18618
23/03/2015,25592
24/03/2015,24083
25/03/2015,25672
26/03/2015,20305
27/03/2015,26348
28/03/2015,18986
29/03/2015,8592
30/03/2015,22106
31/03/2015,22602
01/04/2015,23539
02/04/2015,22682
03/04/2015,11298
04/04/2015,12864
05/04/2015,19369
06/04/2015,25439
07/04/2015,29441
08/04/2015,30643
09/04/2015,31520
10/04/2015,32052
11/04/2015,25113
12/04/2015,29204
13/04/2015,28048
14/04/2015,34519
15/04/2015,37470
16/04/2015,30489
17/04/2015,29796
18/04/2015,29595
19/04/2015,19736
20/04/2015,32057
21/04/2015,34908
22/04/2015,32381
23/04/2015,32773
24/04/2015,32102
25/04/2015,25194
26/04/2015,19427
27/04/2015,30489
28/04/2015,31783
29/04/2015,26030
30/04/2015,31621
01/05/2015,29579
02/05/2015,22231
03/05/2015,21165
04/05/2015,26795
05/05/2015,26488
06/05/2015,24438
07/05/2015,31144
08/05/2015,26878
09/05/2015,27810
10/05/2015,32226
11/05/2015,33719
12/05/2015,33820
13/05/2015,36699
14/05/2015,15609
15/05/2015,32343
16/05/2015,32526
17/05/2015,31323
18/05/2015,24288
19/05/2015,28331
20/05/2015,30534
21/05/2015,34833
22/05/2015,33435
23/05/2015,23849
24/05/2015,30018
25/05/2015,29502
26/05/2015,34809
27/05/2015,36407
28/05/2015,34387
29/05/2015,26023
30/05/2015,29206
31/05/2015,14998
01/06/2015,27864
02/06/2015,27939
03/06/2015,35377
04/06/2015,39451
05/06/2015,34563
06/06/2015,32820
07/06/2015,35407
08/06/2015,32587
09/06/2015,33255
10/06/2015,35707
11/06/2015,38808
12/06/2015,35172
13/06/2015,30298
14/06/2015,25235
15/06/2015,34558
16/06/2015,37923
17/06/2015,38591
18/06/2015,38687
19/06/2015,35966
20/06/2015,26295
21/06/2015,30393
22/06/2015,29557
23/06/2015,37472
24/06/2015,38940
25/06/2015,38673
26/06/2015,37019
27/06/2015,36581
28/06/2015,25706
29/06/2015,39082
30/06/2015,43326
01/07/2015,42641
02/07/2015,38262
