week,month,year,total_rides
1,1,2015,9234
2,1,2015,129038
3,1,2015,139559
4,1,2015,146866
5,1,2015,121942
5,2,2015,11305
6,2,2015,134441
7,2,2015,143398
8,2,2015,129474
9,2,2015,124976
9,3,2015,15641
10,3,2015,168203
11,3,2015,161724
12,3,2015,156080
13,3,2015,149578
14,3,2015,44708
14,4,2015,89752
15,4,2015,203412
16,4,2015,209653
17,4,2015,208842
18,4,2015,119923
18,5,2015,72975
19,5,2015,195779
20,5,2015,216039
21,5,2015,205288
22,5,2015,205332
23,6,2015,233421
24,6,2015,231062
25,6,2015,242413
26,6,2015,243948
27,6,2015,82408
27,7,2015,188513
28,7,2015,298845
29,7,2015,249837
30,7,2015,205906
31,7,2015,177586
31,8,2015,86312
32,8,2015,294204
33,8,2015,221949
34,8,2015,241489
35,8,2015,180358
36,8,2015,9639
36,9,2015,168141
37,9,2015,219702
38,9,2015,197401
39,9,2015,204719
40,9,2015,102515
40,10,2015,128905
41,10,2015,198156
42,10,2015,190331
43,10,2015,182200
44,10,2015,165454
44,11,2015,22848
45,11,2015,165774
46,11,2015,168285
47,11,2015,150553
48,11,2015,148954
49,11,2015,20918
49,12,2015,138192
50,12,2015,151206
51,12,2015,152942
52,12,2015,104984
53,12,2015,55514
1,1,2016,131124
2,1,2016,140962
3,1,2016,145665
4,1,2016,142906
5,2,2016,147458
6,2,2016,138002
7,2,2016,136314
8,2,2016,147551
9,2,2016,23585
9,3,2016,114450
10,3,2016,152600
11,3,2016,161047
12,3,2016,144580
13,3,2016,83850
13,4,2016,76445
14,4,2016,168357
15,4,2016,177345
16,4,2016,188072
17,4,2016,158626
17,5,2016,29249
18,5,2016,254422
19,5,2016,216669
20,5,2016,224543
21,5,2016,237277
22,5,2016,39775
22,6,2016,154952
23,6,2016,235193
24,6,2016,217387
25,6,2016,195117
26,6,2016,131229
26,7,2016,91720
27,7,2016,259198
28,7,2016,250622
29,7,2016,291167
30,7,2016,272820
31,8,2016,253644
32,8,2016,280387
33,8,2016,238752
34,8,2016,251893
35,8,2016,112638
35,9,2016,82047
36,9,2016,238507
37,9,2016,248059
38,9,2016,252688
39,9,2016,177318
39,10,2016,44615
40,10,2016,228403
41,10,2016,204882
42,10,2016,207662
43,10,2016,215683
44,10,2016,34461
44,11,2016,149741
45,11,2016,143718
46,11,2016,163293
47,11,2016,165801
48,11,2016,81306
48,12,2016,85401
49,12,2016,174112
50,12,2016,168680
51,12,2016,151948
52,12,2016,71767
53,1,2016,21861
1,1,2017,31259
52,1,2017,6421
